no,sektor,S-001,S-002,S-003,S-004,S-005,S-006,S-007,S-008,S-009,S-010,S-011,S-012,S-013,S-014,S-015,S-016,S-017,S-018,S-019,S-020,S-021,S-022,S-023,S-024,S-025,S-026,S-027,S-028,S-029,S-030,S-031,S-032,S-033,S-034,S-035,S-036,S-037,S-038,S-039,S-040,S-041,S-042,S-043,S-044,S-045,S-046,S-047,S-048,S-049,S-050,S-051,S-052,S-053,S-054,S-055,S-056,S-057,S-058,S-059,S-060,S-061,S-062,S-063,S-064,S-065,S-066,S-067,S-068,S-069,S-070,S-071,S-072,S-073,S-074,S-075,S-076,S-077,S-078,S-079,S-080,S-081,S-082,S-083,S-084,S-085,S-086,S-087,S-088,S-089,S-090,S-091,S-092,S-093,S-094,S-095,S-096,S-097,S-098,S-099,S-100,S-101,S-102,S-103,S-104,S-105,S-106,S-107,S-108,S-109,S-110,S-111,S-112,S-113,S-114,S-115,S-116,S-117,S-118,S-119,S-120,S-121,S-122,S-123,S-124,S-125,S-126,S-127,S-128,S-129,S-130,S-131,S-132,S-133,S-134,S-135,S-136,S-137,S-138,S-139,S-140,S-141,S-142,S-143,S-144,S-145,S-146,S-147,S-148,S-149,S-150,S-151,S-152,S-153,S-154,S-155,S-156,S-157,S-158,S-159,S-160,S-161,S-162,S-163,S-164,S-165,S-166,S-167,S-168,S-169,S-170,S-171,S-172,S-173,S-174,S-175,S-176,S-177,S-178,S-179,S-180,S-181,S-182,S-183,S-184,S-185,S-186,S-187,S-188,S-189,S-190,S-191,S-192,180,301,302,303,304,305,306,309,310,401,402,403,404,405,409,501,502,503,509,600,700,800
S-001,Padi,0.101061152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039587741,0.024390569,0.001133366,0.000235514,0,0,0,0,0,0.022362196,0.027216244,0.020677068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695755586,0,0,0,0,0,0,0,0,0,0,0.000302017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102422939,0.025905434,0,0,0,0,0,0,0,0,0,0,0,0,0.007422645,0,0,0,0,0,0,0,0,0,0.2062136,0,0.002259568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14621E-05,8.81984E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143954,0,0,0,0.008037511,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-002,Jagung,0,0.073851257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007190277,0.111397608,0.023414291,0,0,0,0,0.000387954,0.002849607,0.011793221,0.014353225,0.010903868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000864817,0,0,0,0.010733009,0,0,0.174396879,0.002713197,0,0.001538216,0,0,0.176487183,5.26242E-05,0.004445542,0.175338154,0,0.000548641,0.00147107,0.00980667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713392,0.000816715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901649,0.002774708,0.000988395,0,0.001190465,0,0.003580957,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-003,Ketela Pohon ,0,0,0.113357403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014493558,0.068429326,0.009171678,0,0,0,0,4.92967E-05,0.000362067,0.001760272,0.002142581,0.001627941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319358829,0.000660865,0,0,0,0,0,0,0.04314227,0.047513287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006497882,0.000878737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002376001,0.008922732,0,0.000685269,0,0.039028105,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-004,Ubi Jalar,0,0,0,0.051934228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004027648,0.014068566,0,0,0,0,0,2.25622E-06,1.65605E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001188224,0,0,0,0,0,0,0.00114478,0,0,0,0,0,0,0,0.005750041,0.000851939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000711125,0.000324913,0,0,0.000477274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001946152,0.00216207,0,0.000354434,0,5.61942E-05,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-005,Umbi-Umbian Palawija Lainnya,0,0,0,0,0.010811479,0,0,0,0.006220443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001189858,0.002064941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97039E-05,0,0.0026387,0,0.000148274,0,0,0,0,0.000225753,8.3617E-06,2.68827E-05,0,0,0,0,0.000211686,0.000664822,0.001642315,0,5.45561E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.951E-07,0,0,0,0,0,0,1.08939E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000606267,0.000157817,0,0,0.000695465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002501367,0.001062139,0,6.83506E-05,0,0.000241381,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-006,Kacang Tanah,0,0,0,0,0,0.123966709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976888,0.005477572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418198,0,0,0,0,0,7.7363E-05,0,0,0,0.004359871,0,0,0.050427578,0.003128215,0,0,0.016295182,0.010416393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000628158,0.00015119,0,0,0.000288716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002268041,0.002155323,0,0.000193489,0,0.000369588,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-007,Kedele,0,0,0,0,0,0,0.125403193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001449824,0.002645416,0.00033815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033619962,1.07922E-05,0,0,0,0,0,0,0.000314838,0,0,0,0.003289397,0,0,0.341125717,0.006314363,0.00273806,0,5.636E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139498,1.5286E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169238,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-008,Kacang Hijau,0,0,0,0,0,0,0,0.117875777,0.000354118,0.000301878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664856,0.00164767,4.47569E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48869E-05,0.002800432,0.00013073,0,0,0,0,0,0,0.000216082,0,0,0,0.006863482,0.004525183,4.45219E-06,0,0.011034304,0.007514018,0,3.87173E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000470591,7.24879E-05,0,0,0.000167406,0.000136623,0,0,0,0,0,0,0,0,0,0,0,0,0.000690044,0.001086909,0,8.37512E-05,0,0.000622942,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-009,Sayuran Semusim,0,0,0,0,0.077047471,0,0,0.003257004,0.084848873,0.034670852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017110998,0.014761509,0.000728773,0.012449744,0,0,0,1.87123E-06,1.37242E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263284,7.73635E-05,0.181614837,0,0.001094147,0,0,0,0,0.001721132,0.000817675,0.004860995,0,0.000189681,0.000125042,1.26603E-07,0.001526811,0.006715503,0.012537376,7.43841E-05,0.000610897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2007E-06,0,0,0,0,0.000565226,0.000522701,0.003855613,0,0.002242627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016513267,0.003947948,0,0,0.004960832,3.80189E-06,0,0,0,0,0,0,0,0,0,0,0,0.002482797,0.052716532,0.045349964,0,0.038955705,0,0.013887034,0,0,0,,,,,,,,,,,,,,,,,,,,,,
S-010,Sayuran Tahunan,0,0,0,0,0,0,0,0,0.027484483,0.023517258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005843765,0,0.000493601,0.00844688,0,0,0,1.27136E-06,9.30702E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1873E-05,0,0.110458445,0,2.54407E-05,0,0,0,0,7.2128E-05,0.000514332,0.003168052,0,0,0,0,1.24224E-05,0.001135002,0.000424677,5.03187E-05,0.000388097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038349,0.000354624,0.002610171,0,0.001521557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008263527,0.001914139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001684489,0.023659218,0.025612401,0,0.026097982,0,0.008242887,0,0,0,,,,,,,,,,,,,,,,,,,,,,
